customer_id,full_name,email,signup_date,country,status,lifetime_value
C-0034,Liam Miller,liam.miller34@example.com,2026-02-20,United States,Inactive,3936.43
C-0035,Emma Brown,emma.brown35@example.com,2025-06-15,Türkiye,Inactive,246.72
C-0036,Liam Stone,liam.stone36@example.com,2026-06-15,United States,Active,4363.39
C-0037,Emma Wilson,emma.wilson37@example.com,2025-01-01,United States,Active,1458.26
C-0038,Emma Stone,emma.stone38@example.com,2025-03-08,United States,Inactive,2575.71
C-0039,Emma Demir,emma.demir39@example.com,2025-11-17,Germany,Prospect,2596.03
C-0040,Emma Wilson,emma.wilson40@example.com,2025-11-26,United States,Active,4239.22
C-0041,Emma Wilson,emma.wilson41@example.com,2025-10-16,United States,Active,1088.38
C-0042,Ethan Demir,ethan.demir42@example.com,2025-01-25,Germany,Inactive,525.07
C-0043,Mia Kaya,mia.kaya43@example.com,2026-05-04,Türkiye,Active,1878.52
C-0044,Leyla Demir,leyla.demir44@example.com,2025-08-29,France,Inactive,1038.67
C-0045,Ada Miller,ada.miller45@example.com,2025-10-14,United States,Active,2452.02
C-0046,Liam Demir,liam.demir46@example.com,2026-07-24,United Kingdom,Active,2012.48
C-0047,Mia Martin,mia.martin47@example.com,2026-05-08,Germany,Inactive,3610.21
C-0048,Noah Wilson,noah.wilson48@example.com,2025-07-31,France,Prospect,612.34
C-0049,Oliver Yilmaz,oliver.yilmaz49@example.com,2026-07-06,Germany,Prospect,1787.90
C-0050,Oliver Wilson,oliver.wilson50@example.com,2025-08-02,United States,Active,3101.15
C-0051,Mia Miller,mia.miller51@example.com,2025-03-23,France,Inactive,2544.02
C-0052,Mia Stone,mia.stone52@example.com,2025-06-15,Germany,Active,3549.51
C-0053,Lucas Brown,lucas.brown53@example.com,2025-12-12,Germany,Prospect,1803.36
C-0054,Mia Yilmaz,mia.yilmaz54@example.com,2026-04-08,Türkiye,Inactive,3599.83
C-0055,Liam Brown,liam.brown55@example.com,2025-08-19,France,Inactive,2394.38
C-0056,Lucas Stone,lucas.stone56@example.com,2025-09-03,Türkiye,Inactive,2501.54
C-0057,Ethan Martin,ethan.martin57@example.com,2025-08-22,United States,Prospect,1882.44
C-0058,Mia Stone,mia.stone58@example.com,2026-07-18,France,Active,2277.85
C-0059,Mia Taylor,mia.taylor59@example.com,2025-08-27,Türkiye,Prospect,603.52
C-0060,Sofia Stone,sofia.stone60@example.com,2025-01-10,Türkiye,Active,1997.60
C-0061,Oliver Kaya,oliver.kaya61@example.com,2026-06-05,United States,Inactive,739.25
C-0062,Ethan Martin,ethan.martin62@example.com,2026-05-03,United States,Prospect,807.03
C-0063,Emma Demir,emma.demir63@example.com,2026-04-01,France,Inactive,2039.39
C-0064,Liam Kaya,liam.kaya64@example.com,2025-02-21,United States,Active,571.70
C-0065,Emma Taylor,emma.taylor65@example.com,2026-02-27,Türkiye,Prospect,4295.62
C-0066,Noah Brown,noah.brown66@example.com,2026-02-22,Türkiye,Prospect,208.89
C-0067,Emma Demir,emma.demir67@example.com,2025-05-31,Türkiye,Prospect,4076.28
C-0068,Noah Stone,noah.stone68@example.com,2025-12-25,Germany,Active,346.99
C-0069,Oliver Yilmaz,oliver.yilmaz69@example.com,2026-03-11,United States,Inactive,1635.23
C-0070,Leyla Brown,leyla.brown70@example.com,2025-10-23,United States,Inactive,2765.90
C-0071,Noah Stone,noah.stone71@example.com,2026-04-21,United States,Inactive,1433.64
C-0072,Liam Kaya,liam.kaya72@example.com,2025-03-07,United Kingdom,Inactive,4465.60
C-0073,Leyla Miller,leyla.miller73@example.com,2025-10-14,Türkiye,Prospect,2743.32
C-0074,Sofia Wilson,sofia.wilson74@example.com,2025-11-14,United Kingdom,Active,2520.01
C-0075,Liam Yilmaz,liam.yilmaz75@example.com,2026-02-04,United Kingdom,Inactive,354.66
C-0076,Ada Miller,ada.miller76@example.com,2026-06-23,Germany,Active,3981.58
C-0077,Ada Brown,ada.brown77@example.com,2025-06-03,United States,Inactive,1411.33
C-0078,Noah Taylor,noah.taylor78@example.com,2025-12-25,United Kingdom,Inactive,519.73
C-0079,Leyla Kaya,leyla.kaya79@example.com,2025-06-03,United Kingdom,Prospect,2966.10
C-0080,Oliver Yilmaz,oliver.yilmaz80@example.com,2025-04-28,United States,Active,629.87
C-0081,Sofia Brown,sofia.brown81@example.com,2025-12-30,United Kingdom,Prospect,3186.62
C-0082,Noah Demir,noah.demir82@example.com,2026-02-07,United Kingdom,Prospect,4097.36
C-0083,Liam Kaya,liam.kaya83@example.com,2025-06-09,United States,Prospect,1154.48
C-0084,Liam Stone,liam.stone84@example.com,2026-05-14,United States,Inactive,1333.93
C-0085,Noah Stone,noah.stone85@example.com,2025-01-22,France,Inactive,2861.21
C-0086,Oliver Yilmaz,oliver.yilmaz86@example.com,2026-06-15,Germany,Active,630.64
C-0087,Mia Wilson,mia.wilson87@example.com,2025-09-28,United States,Active,1448.07
C-0088,Emma Miller,emma.miller88@example.com,2025-08-30,Türkiye,Active,2286.93
C-0089,Mia Demir,mia.demir89@example.com,2025-11-26,United States,Prospect,4382.90
C-0090,Noah Clark,noah.clark90@example.com,2025-01-26,Germany,Inactive,1392.51
C-0091,Leyla Martin,leyla.martin91@example.com,2025-12-30,Germany,Active,2329.00
C-0092,Ethan Martin,ethan.martin92@example.com,2026-05-26,Türkiye,Active,3928.65
C-0093,Liam Clark,liam.clark93@example.com,2025-05-22,United States,Prospect,4463.26
C-0094,Leyla Wilson,leyla.wilson94@example.com,2025-09-30,United Kingdom,Inactive,3258.33
C-0095,Ethan Demir,ethan.demir95@example.com,2025-03-16,Türkiye,Inactive,3332.73
C-0096,Leyla Taylor,leyla.taylor96@example.com,2025-06-26,United States,Active,458.39
C-0097,Mia Brown,mia.brown97@example.com,2026-03-18,Türkiye,Inactive,419.37
C-0098,Oliver Miller,oliver.miller98@example.com,2026-06-21,Türkiye,Inactive,410.78
C-0099,Noah Miller,noah.miller99@example.com,2025-11-02,United States,Prospect,1266.36
C-0100,Lucas Miller,lucas.miller100@example.com,2026-07-06,France,Prospect,4438.38
C-0101,Leyla Yilmaz,leyla.yilmaz101@example.com,2026-03-06,Türkiye,Inactive,3442.81
C-0102,Noah Miller,noah.miller102@example.com,2025-11-12,United States,Inactive,3966.05
C-0103,Ada Wilson,ada.wilson103@example.com,2025-02-06,United Kingdom,Inactive,3084.68
C-0104,Ada Brown,ada.brown104@example.com,2026-02-19,United States,Inactive,2111.77
C-0105,Mia Brown,mia.brown105@example.com,2026-01-01,United Kingdom,Active,252.64
C-0106,Ethan Martin,ethan.martin106@example.com,2025-01-28,Türkiye,Prospect,3406.20
C-0107,Emma Kaya,emma.kaya107@example.com,2025-05-13,Germany,Active,363.92
C-0108,Emma Demir,emma.demir108@example.com,2025-02-09,United States,Prospect,1508.07
C-0109,Ada Martin,ada.martin109@example.com,2025-07-20,Germany,Prospect,2331.50
C-0110,Liam Martin,liam.martin110@example.com,2025-06-17,United Kingdom,Inactive,1285.41
C-0111,Ethan Stone,ethan.stone111@example.com,2026-07-22,United Kingdom,Inactive,1608.63
C-0112,Ethan Clark,ethan.clark112@example.com,2026-02-13,United Kingdom,Active,1237.20
C-0113,Ada Demir,ada.demir113@example.com,2025-10-22,United States,Prospect,364.43
C-0114,Lucas Kaya,lucas.kaya114@example.com,2026-02-18,United Kingdom,Prospect,2368.45
C-0115,Emma Martin,emma.martin115@example.com,2026-05-03,Germany,Inactive,2954.81
C-0116,Liam Demir,liam.demir116@example.com,2025-02-04,United States,Active,2273.81
C-0117,Lucas Taylor,lucas.taylor117@example.com,2025-08-26,United States,Inactive,432.25
C-0118,Sofia Demir,sofia.demir118@example.com,2026-03-06,France,Inactive,4441.36
C-0119,Oliver Demir,oliver.demir119@example.com,2025-03-07,United Kingdom,Prospect,3296.46
C-0120,Ada Yilmaz,ada.yilmaz120@example.com,2025-11-04,France,Prospect,219.13
C-0121,Oliver Martin,oliver.martin121@example.com,2025-12-05,United Kingdom,Prospect,2872.62
C-0122,Emma Kaya,emma.kaya122@example.com,2025-05-19,France,Prospect,902.06
C-0123,Lucas Brown,lucas.brown123@example.com,2026-05-07,Türkiye,Active,2199.47
C-0124,Lucas Yilmaz,lucas.yilmaz124@example.com,2026-03-16,United States,Active,1452.86
C-0125,Oliver Yilmaz,oliver.yilmaz125@example.com,2025-11-03,France,Inactive,2020.73
C-0126,Emma Taylor,emma.taylor126@example.com,2025-08-26,Germany,Active,759.68
C-0127,Leyla Yilmaz,leyla.yilmaz127@example.com,2025-08-27,France,Active,2185.64
C-0128,Lucas Demir,lucas.demir128@example.com,2026-02-28,United States,Active,3750.85
C-0129,Noah Brown,noah.brown129@example.com,2025-12-01,Türkiye,Active,1968.30
C-0130,Lucas Yilmaz,lucas.yilmaz130@example.com,2026-07-02,Germany,Active,3862.83
C-0131,Sofia Taylor,sofia.taylor131@example.com,2025-09-10,Türkiye,Active,875.67
C-0132,Mia Kaya,mia.kaya132@example.com,2025-02-14,France,Prospect,1711.28
C-0133,Emma Martin,emma.martin133@example.com,2026-06-27,United States,Inactive,1732.32
C-0134,Ethan Miller,ethan.miller134@example.com,2026-01-11,United States,Inactive,1779.00
C-0135,Emma Kaya,emma.kaya135@example.com,2025-07-01,Germany,Prospect,1168.37
C-0136,Ethan Wilson,ethan.wilson136@example.com,2025-05-17,Germany,Active,2908.25
C-0137,Noah Miller,noah.miller137@example.com,2026-02-02,United Kingdom,Prospect,2240.35
C-0138,Oliver Taylor,oliver.taylor138@example.com,2025-07-30,United States,Active,4174.19
C-0139,Lucas Clark,lucas.clark139@example.com,2025-06-10,Türkiye,Active,1199.47
C-0140,Ethan Stone,ethan.stone140@example.com,2026-01-16,France,Active,546.33
C-0141,Liam Miller,liam.miller141@example.com,2025-07-29,United States,Active,3364.90
C-0142,Sofia Martin,sofia.martin142@example.com,2025-10-26,United States,Prospect,24.05
C-0143,Noah Brown,noah.brown143@example.com,2025-09-07,France,Prospect,2538.95
C-0144,Mia Clark,mia.clark144@example.com,2025-06-09,Germany,Active,3842.94
C-0145,Emma Martin,emma.martin145@example.com,2026-07-02,France,Active,58.95
C-0146,Oliver Demir,oliver.demir146@example.com,2025-06-01,France,Active,617.68
C-0147,Ethan Stone,ethan.stone147@example.com,2025-09-29,France,Inactive,2049.08
C-0148,Lucas Stone,lucas.stone148@example.com,2025-02-03,Germany,Prospect,116.06
C-0149,Ethan Wilson,ethan.wilson149@example.com,2025-09-07,France,Active,2856.31
C-0150,Mia Demir,mia.demir150@example.com,2025-03-10,Germany,Inactive,760.18
C-0151,Emma Miller,emma.miller151@example.com,2026-06-06,United Kingdom,Active,1532.95
C-0152,Mia Yilmaz,mia.yilmaz152@example.com,2025-01-24,United Kingdom,Active,1470.23
C-0153,Ada Brown,ada.brown153@example.com,2025-01-12,France,Active,2309.89
C-0154,Ada Miller,ada.miller154@example.com,2025-07-25,United States,Prospect,3571.72
C-0155,Sofia Stone,sofia.stone155@example.com,2025-09-21,Germany,Active,1671.92
C-0156,Noah Stone,noah.stone156@example.com,2025-02-22,United Kingdom,Active,1957.76
C-0157,Liam Kaya,liam.kaya157@example.com,2025-03-14,Germany,Active,3156.85
C-0158,Emma Wilson,emma.wilson158@example.com,2025-10-30,United Kingdom,Active,3083.04
C-0159,Lucas Taylor,lucas.taylor159@example.com,2026-07-02,United States,Active,3246.61
C-0160,Emma Stone,emma.stone160@example.com,2025-05-10,France,Active,2378.17
C-0161,Ada Martin,ada.martin161@example.com,2026-06-29,Germany,Inactive,802.70
C-0162,Lucas Miller,lucas.miller162@example.com,2025-05-20,Germany,Active,1354.44
C-0163,Lucas Brown,lucas.brown163@example.com,2026-05-18,Türkiye,Prospect,2215.40
C-0164,Noah Kaya,noah.kaya164@example.com,2025-01-22,France,Inactive,1342.80
C-0165,Ada Brown,ada.brown165@example.com,2025-06-09,Germany,Active,1420.17
C-0166,Oliver Martin,oliver.martin166@example.com,2026-03-09,Germany,Active,170.92
C-0167,Emma Brown,emma.brown167@example.com,2026-06-18,Türkiye,Active,3335.87
C-0168,Noah Clark,noah.clark168@example.com,2026-03-03,United States,Active,1802.98
C-0169,Leyla Miller,leyla.miller169@example.com,2025-02-27,United Kingdom,Inactive,146.38
C-0170,Mia Taylor,mia.taylor170@example.com,2025-03-06,Türkiye,Prospect,93.03
C-0171,Oliver Taylor,oliver.taylor171@example.com,2026-04-13,United States,Active,1029.73
C-0172,Ethan Wilson,ethan.wilson172@example.com,2026-03-18,United States,Inactive,299.98
C-0173,Liam Miller,liam.miller173@example.com,2025-02-01,United States,Active,1707.54
C-0174,Ada Kaya,ada.kaya174@example.com,2026-03-17,France,Prospect,395.49
C-0175,Liam Taylor,liam.taylor175@example.com,2025-04-04,Türkiye,Inactive,1073.85
C-0176,Emma Wilson,emma.wilson176@example.com,2025-10-18,Germany,Inactive,3065.47
C-0177,Leyla Miller,leyla.miller177@example.com,2025-11-18,United Kingdom,Inactive,1862.14
C-0178,Emma Brown,emma.brown178@example.com,2026-03-19,United Kingdom,Inactive,4284.91
C-0179,Leyla Kaya,leyla.kaya179@example.com,2026-07-15,United Kingdom,Inactive,2848.34
C-0180,Leyla Martin,leyla.martin180@example.com,2025-07-13,United Kingdom,Inactive,1187.37
C-0181,Mia Kaya,mia.kaya181@example.com,2025-09-12,Germany,Active,3896.74
C-0182,Sofia Kaya,sofia.kaya182@example.com,2025-12-04,United States,Prospect,795.13
C-0183,Noah Wilson,noah.wilson183@example.com,2025-04-16,United Kingdom,Active,148.80
C-0184,Lucas Brown,lucas.brown184@example.com,2026-03-19,France,Active,1322.39
C-0185,Ada Kaya,ada.kaya185@example.com,2025-06-11,Türkiye,Prospect,32.91
C-0186,Ada Taylor,ada.taylor186@example.com,2026-03-13,United States,Prospect,2255.33
C-0187,Mia Demir,mia.demir187@example.com,2025-09-21,United States,Inactive,2686.44
C-0188,Ethan Kaya,ethan.kaya188@example.com,2025-05-17,Türkiye,Inactive,581.36
C-0189,Noah Stone,noah.stone189@example.com,2026-02-19,France,Inactive,1032.97
C-0190,Lucas Yilmaz,lucas.yilmaz190@example.com,2026-03-09,France,Inactive,1218.56
C-0191,Liam Martin,liam.martin191@example.com,2026-03-16,Türkiye,Prospect,4121.26
C-0192,Oliver Miller,oliver.miller192@example.com,2025-07-01,Türkiye,Inactive,2466.91
C-0193,Ada Clark,ada.clark193@example.com,2025-07-14,Türkiye,Prospect,1394.31
C-0194,Lucas Clark,lucas.clark194@example.com,2026-01-22,Germany,Prospect,1199.70
C-0195,Sofia Demir,sofia.demir195@example.com,2025-05-26,Germany,Inactive,2421.78
C-0196,Noah Taylor,noah.taylor196@example.com,2025-12-28,United States,Prospect,3431.44
C-0197,Ada Demir,ada.demir197@example.com,2026-05-29,United States,Inactive,106.98
C-0198,Noah Brown,noah.brown198@example.com,2026-05-19,United States,Prospect,3217.05
C-0199,Lucas Martin,lucas.martin199@example.com,2026-03-12,France,Prospect,1169.87
C-0200,Noah Yilmaz,noah.yilmaz200@example.com,2026-03-02,France,Prospect,3284.72
C-0201,Ada Stone,ada.stone201@example.com,2026-01-12,Germany,Inactive,1964.06
C-0202,Liam Brown,liam.brown202@example.com,2026-05-13,France,Inactive,1861.50
C-0203,Noah Yilmaz,noah.yilmaz203@example.com,2025-06-01,United States,Active,3202.17
C-0204,Lucas Yilmaz,lucas.yilmaz204@example.com,2025-10-21,Germany,Inactive,166.63
C-0205,Ethan Wilson,ethan.wilson205@example.com,2026-01-26,France,Inactive,2516.29
C-0206,Oliver Stone,oliver.stone206@example.com,2025-06-21,France,Active,686.70
C-0207,Sofia Martin,sofia.martin207@example.com,2025-11-22,Türkiye,Active,3141.18
C-0208,Leyla Demir,leyla.demir208@example.com,2025-02-10,United States,Inactive,908.73
C-0209,Ethan Stone,ethan.stone209@example.com,2025-07-18,United States,Prospect,1308.76
C-0210,Leyla Clark,leyla.clark210@example.com,2026-07-04,United States,Active,3137.49
C-0211,Ada Taylor,ada.taylor211@example.com,2026-05-07,Germany,Active,3435.06
C-0212,Ada Martin,ada.martin212@example.com,2026-04-29,Germany,Prospect,1057.46
C-0213,Ethan Clark,ethan.clark213@example.com,2025-08-07,United States,Prospect,4228.80
C-0214,Mia Wilson,mia.wilson214@example.com,2025-08-27,United States,Inactive,2770.39
C-0215,Ada Miller,ada.miller215@example.com,2025-03-31,United States,Active,4039.81
C-0216,Ethan Clark,ethan.clark216@example.com,2025-01-24,United States,Inactive,815.73
C-0217,Emma Wilson,emma.wilson217@example.com,2026-03-22,United States,Active,3403.44
C-0218,Emma Demir,emma.demir218@example.com,2025-06-28,Germany,Active,3899.56
C-0219,Ethan Taylor,ethan.taylor219@example.com,2026-06-29,France,Inactive,408.70
C-0220,Mia Yilmaz,mia.yilmaz220@example.com,2025-12-02,France,Prospect,4168.38
C-0221,Leyla Martin,leyla.martin221@example.com,2026-04-01,Germany,Inactive,2166.94
C-0222,Sofia Yilmaz,sofia.yilmaz222@example.com,2025-06-06,Türkiye,Prospect,2446.25
C-0223,Emma Wilson,emma.wilson223@example.com,2026-01-19,France,Active,2977.64
C-0224,Oliver Yilmaz,oliver.yilmaz224@example.com,2025-10-02,Germany,Prospect,543.86
C-0225,Noah Stone,noah.stone225@example.com,2026-05-05,Türkiye,Active,3110.69
C-0226,Noah Martin,noah.martin226@example.com,2026-03-08,United States,Active,975.91
C-0227,Noah Yilmaz,noah.yilmaz227@example.com,2025-02-15,France,Inactive,3061.59
C-0228,Ethan Miller,ethan.miller228@example.com,2025-10-10,France,Inactive,1315.35
C-0229,Noah Taylor,noah.taylor229@example.com,2025-10-29,Türkiye,Inactive,22.57
C-0230,Oliver Brown,oliver.brown230@example.com,2026-01-21,Germany,Inactive,3310.80
C-0231,Mia Yilmaz,mia.yilmaz231@example.com,2025-08-02,Germany,Inactive,3677.34
C-0232,Sofia Wilson,sofia.wilson232@example.com,2026-04-10,Türkiye,Inactive,2740.98
C-0233,Leyla Demir,leyla.demir233@example.com,2025-12-29,United Kingdom,Inactive,3134.37
C-0234,Ada Demir,ada.demir234@example.com,2026-05-27,United States,Inactive,2217.91
C-0235,Mia Martin,mia.martin235@example.com,2025-03-11,United Kingdom,Prospect,1863.62
C-0236,Sofia Demir,sofia.demir236@example.com,2025-08-22,Türkiye,Inactive,2493.10
C-0237,Ada Demir,ada.demir237@example.com,2025-11-01,United Kingdom,Prospect,3376.78
C-0238,Oliver Yilmaz,oliver.yilmaz238@example.com,2026-05-17,United Kingdom,Prospect,1735.20
C-0239,Ada Stone,ada.stone239@example.com,2025-02-04,United States,Prospect,3727.97
C-0240,Ada Kaya,ada.kaya240@example.com,2025-09-29,United States,Prospect,298.59
C-0241,Liam Wilson,liam.wilson241@example.com,2025-07-17,United States,Prospect,219.21
C-0242,Emma Stone,emma.stone242@example.com,2025-05-07,Germany,Inactive,3985.93
C-0243,Mia Kaya,mia.kaya243@example.com,2026-04-20,France,Active,1095.00
C-0244,Ada Wilson,ada.wilson244@example.com,2025-12-02,United Kingdom,Active,3472.58
C-0245,Liam Clark,liam.clark245@example.com,2026-04-14,Türkiye,Inactive,3134.48
C-0246,Mia Wilson,mia.wilson246@example.com,2025-03-29,United States,Prospect,1452.03
C-0247,Lucas Martin,lucas.martin247@example.com,2026-02-26,United Kingdom,Prospect,619.03
C-0248,Oliver Demir,oliver.demir248@example.com,2026-04-15,United States,Active,2803.70
C-0249,Leyla Wilson,leyla.wilson249@example.com,2026-03-21,United States,Prospect,3964.70
C-0250,Mia Stone,mia.stone250@example.com,2026-03-02,Türkiye,Prospect,3413.41
C-0251,Lucas Clark,lucas.clark251@example.com,2025-01-27,United States,Prospect,3707.52
C-0252,Noah Taylor,noah.taylor252@example.com,2025-02-15,United Kingdom,Prospect,4379.55
C-0253,Leyla Taylor,leyla.taylor253@example.com,2025-03-26,France,Prospect,732.58
C-0254,Leyla Clark,leyla.clark254@example.com,2025-01-17,United States,Prospect,2108.54
C-0255,Noah Clark,noah.clark255@example.com,2026-01-13,United Kingdom,Active,2500.23
C-0256,Leyla Kaya,leyla.kaya256@example.com,2025-06-30,United Kingdom,Inactive,1030.96
C-0257,Lucas Taylor,lucas.taylor257@example.com,2025-03-23,United States,Active,3990.03
C-0258,Lucas Stone,lucas.stone258@example.com,2026-01-27,France,Inactive,2012.18
C-0259,Sofia Demir,sofia.demir259@example.com,2025-12-19,United States,Prospect,1004.54
C-0260,Lucas Kaya,lucas.kaya260@example.com,2025-11-09,United States,Prospect,4034.95
C-0261,Emma Wilson,emma.wilson261@example.com,2026-02-16,Germany,Prospect,1525.94
C-0262,Noah Stone,noah.stone262@example.com,2025-03-09,France,Prospect,44.97
C-0263,Sofia Wilson,sofia.wilson263@example.com,2026-06-30,France,Active,2065.26
C-0264,Lucas Kaya,lucas.kaya264@example.com,2025-08-05,United States,Active,3300.57
C-0265,Mia Stone,mia.stone265@example.com,2026-05-18,United States,Prospect,3152.10
C-0266,Emma Martin,emma.martin266@example.com,2025-05-14,Germany,Inactive,893.73
C-0267,Ada Miller,ada.miller267@example.com,2025-04-26,United Kingdom,Prospect,3385.55
C-0268,Emma Clark,emma.clark268@example.com,2025-04-18,United States,Active,3129.46
C-0269,Lucas Clark,lucas.clark269@example.com,2026-03-04,Türkiye,Active,392.94
C-0270,Emma Kaya,emma.kaya270@example.com,2026-04-16,France,Inactive,2008.71
C-0271,Lucas Stone,lucas.stone271@example.com,2026-06-18,United States,Prospect,2005.05
C-0272,Oliver Clark,oliver.clark272@example.com,2026-01-21,United States,Active,460.69
C-0273,Oliver Stone,oliver.stone273@example.com,2026-05-15,United States,Active,1356.06
C-0274,Noah Miller,noah.miller274@example.com,2025-08-03,United Kingdom,Prospect,3352.97
C-0275,Ethan Martin,ethan.martin275@example.com,2026-04-13,Germany,Inactive,4320.28
C-0276,Lucas Stone,lucas.stone276@example.com,2025-07-27,United Kingdom,Active,2282.01
C-0277,Ada Demir,ada.demir277@example.com,2025-10-22,Germany,Inactive,4412.71
C-0278,Ethan Kaya,ethan.kaya278@example.com,2025-05-20,Germany,Prospect,99.19
C-0279,Sofia Taylor,sofia.taylor279@example.com,2025-08-23,Türkiye,Active,4328.71
C-0280,Ethan Stone,ethan.stone280@example.com,2026-03-05,France,Inactive,2111.80
C-0281,Mia Stone,mia.stone281@example.com,2025-03-08,Germany,Inactive,669.48
C-0282,Liam Taylor,liam.taylor282@example.com,2025-10-21,France,Prospect,204.28
C-0283,Liam Taylor,liam.taylor283@example.com,2025-02-20,Türkiye,Active,3707.94
C-0284,Emma Brown,emma.brown284@example.com,2025-06-26,United States,Prospect,4103.27
C-0285,Mia Yilmaz,mia.yilmaz285@example.com,2025-05-26,United States,Inactive,2020.93
C-0286,Emma Brown,emma.brown286@example.com,2025-02-25,United Kingdom,Prospect,2223.87
C-0287,Liam Yilmaz,liam.yilmaz287@example.com,2025-09-02,United Kingdom,Inactive,706.27
C-0288,Ada Miller,ada.miller288@example.com,2025-10-05,United States,Prospect,3067.79
C-0289,Noah Clark,noah.clark289@example.com,2025-07-04,United States,Active,701.38
C-0290,Noah Yilmaz,noah.yilmaz290@example.com,2026-07-12,Türkiye,Inactive,2686.73
C-0291,Ada Brown,ada.brown291@example.com,2026-03-27,France,Inactive,3072.62
C-0292,Emma Martin,emma.martin292@example.com,2026-03-20,United States,Prospect,1901.55
C-0293,Ada Stone,ada.stone293@example.com,2026-05-24,United States,Active,4121.47
C-0294,Ethan Brown,ethan.brown294@example.com,2026-01-22,Türkiye,Inactive,180.40
C-0295,Noah Demir,noah.demir295@example.com,2026-03-06,United States,Prospect,1151.86
C-0296,Sofia Clark,sofia.clark296@example.com,2026-06-26,United States,Active,3510.53
C-0297,Lucas Stone,lucas.stone297@example.com,2026-06-20,France,Prospect,2349.94
C-0298,Oliver Brown,oliver.brown298@example.com,2026-07-08,United Kingdom,Prospect,2926.21
C-0299,Lucas Wilson,lucas.wilson299@example.com,2025-09-21,France,Prospect,3001.68
C-0300,Sofia Taylor,sofia.taylor300@example.com,2025-03-04,United States,Active,902.73
C-0301,Emma Martin,emma.martin301@example.com,2026-06-30,United Kingdom,Active,3846.90
C-0302,Mia Wilson,mia.wilson302@example.com,2025-08-26,United Kingdom,Prospect,1815.04
C-0303,Ada Yilmaz,ada.yilmaz303@example.com,2025-02-04,France,Inactive,385.48
C-0304,Liam Demir,liam.demir304@example.com,2025-11-24,Türkiye,Prospect,376.65
C-0305,Liam Kaya,liam.kaya305@example.com,2025-08-07,United Kingdom,Inactive,1580.64
C-0306,Mia Miller,mia.miller306@example.com,2025-02-06,Germany,Inactive,3946.10
C-0307,Noah Clark,noah.clark307@example.com,2025-09-15,Türkiye,Active,821.83
C-0308,Sofia Brown,sofia.brown308@example.com,2025-03-04,Türkiye,Active,29.22
