unit_id,property_id,unit_number,bedrooms,monthly_rent,occupancy_status,tenant_id,tenant_name,email,lease_start,lease_end
"P08-U04","P08","4","1","1325","Occupied","T055","Can Yilmaz","can.yilmaz.t055@example.com","2025-11-01","2026-10-31"
"P08-U05","P08","5","1","1350","Occupied","T056","Derya Aydin","derya.aydin.t056@example.com","2025-11-01","2026-10-31"
"P08-U06","P08","6","2","1500","Occupied","T057","Selin Polat","selin.polat.t057@example.com","2025-11-01","2026-10-31"
"P08-U07","P08","7","1","1475","Occupied","T058","Derya Sahin","derya.sahin.t058@example.com","2025-11-01","2026-10-31"
"P08-U08","P08","8","1","1600","Occupied","T059","Zeynep Kaya","zeynep.kaya.t059@example.com","2025-11-01","2026-10-31"
"P09-U01","P09","1","1","1400","Occupied","T060","Deniz Arslan","deniz.arslan.t060@example.com","2025-11-01","2026-10-31"
"P09-U02","P09","2","1","1400","Occupied","T061","Elif Celik","elif.celik.t061@example.com","2025-11-01","2026-10-31"
"P09-U03","P09","3","2","1525","Occupied","T062","Mert Aksoy","mert.aksoy.t062@example.com","2025-11-01","2026-10-31"
"P09-U04","P09","4","1","1475","Occupied","T063","Emre Yilmaz","emre.yilmaz.t063@example.com","2025-11-01","2026-10-31"
"P09-U05","P09","5","1","1625","Vacant","","","","",""
"P09-U06","P09","6","2","1650","Occupied","T064","Burak Demir","burak.demir.t064@example.com","2025-11-01","2026-10-31"
"P09-U07","P09","7","1","1650","Occupied","T065","Aylin Aksoy","aylin.aksoy.t065@example.com","2025-11-01","2026-10-31"
"P09-U08","P09","8","1","1700","Occupied","T066","Zeynep Aydin","zeynep.aydin.t066@example.com","2025-11-01","2026-10-31"
"P10-U01","P10","1","1","1625","Occupied","T067","Mert Demir","mert.demir.t067@example.com","2025-11-01","2026-10-31"
"P10-U02","P10","2","1","1575","Occupied","T068","Elif Koc","elif.koc.t068@example.com","2025-11-01","2026-10-31"
"P10-U03","P10","3","2","1575","Occupied","T069","Kerem Aksoy","kerem.aksoy.t069@example.com","2025-11-01","2026-10-31"
"P10-U04","P10","4","1","1675","Occupied","T070","Burak Celik","burak.celik.t070@example.com","2025-11-01","2026-10-31"
"P10-U05","P10","5","1","1625","Occupied","T071","Kerem Polat","kerem.polat.t071@example.com","2025-11-01","2026-10-31"
"P10-U06","P10","6","2","1700","Occupied","T072","Can Celik","can.celik.t072@example.com","2025-11-01","2026-10-31"
"P10-U07","P10","7","1","1750","Occupied","T073","Aylin Sahin","aylin.sahin.t073@example.com","2025-11-01","2026-10-31"
"P10-U08","P10","8","1","1800","Vacant","","","","",""
"P11-U01","P11","1","1","1325","Occupied","T074","Zeynep Kaya","zeynep.kaya.t074@example.com","2025-11-01","2026-10-31"
"P11-U02","P11","2","1","1475","Vacant","","","","",""
"P11-U03","P11","3","2","1350","Occupied","T075","Burak Kaya","burak.kaya.t075@example.com","2025-11-01","2026-10-31"
"P11-U04","P11","4","1","1425","Occupied","T076","Zeynep Demir","zeynep.demir.t076@example.com","2025-11-01","2026-10-31"
"P11-U05","P11","5","1","1450","Occupied","T077","Can Kaya","can.kaya.t077@example.com","2025-11-01","2026-10-31"
"P11-U06","P11","6","2","1600","Occupied","T078","Aylin Demir","aylin.demir.t078@example.com","2025-11-01","2026-10-31"
"P11-U07","P11","7","1","1625","Occupied","T079","Deniz Kaya","deniz.kaya.t079@example.com","2025-11-01","2026-10-31"
"P11-U08","P11","8","1","1725","Occupied","T080","Mert Polat","mert.polat.t080@example.com","2025-11-01","2026-10-31"
"P12-U01","P12","1","1","1200","Occupied","T081","Burak Aydin","burak.aydin.t081@example.com","2025-11-01","2026-10-31"
"P12-U02","P12","2","1","1375","Occupied","T082","Emre Koc","emre.koc.t082@example.com","2025-11-01","2026-10-31"
"P12-U03","P12","3","2","1250","Occupied","T083","Elif Yilmaz","elif.yilmaz.t083@example.com","2025-11-01","2026-10-31"
"P12-U04","P12","4","1","1400","Occupied","T084","Derya Celik","derya.celik.t084@example.com","2025-11-01","2026-10-31"
"P12-U05","P12","5","1","1475","Occupied","T085","Zeynep Aydin","zeynep.aydin.t085@example.com","2025-11-01","2026-10-31"
"P12-U06","P12","6","2","1450","Occupied","T086","Can Celik","can.celik.t086@example.com","2025-11-01","2026-10-31"
"P12-U07","P12","7","1","1525","Occupied","T087","Selin Aydin","selin.aydin.t087@example.com","2025-11-01","2026-10-31"
"P12-U08","P12","8","1","1425","Occupied","T088","Kerem Koc","kerem.koc.t088@example.com","2025-11-01","2026-10-31"
