invoice_id,month,property_id,property_name,district,manager,unit_id,tenant_id,tenant_name,due_date,rent_billed,amount_paid,balance,paid_date,payment_status,days_late,aging_bucket
"INV-00030","2026-06","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U03","T003","Derya Aydin","2026-06-05","1450","1450","0","2026-06-02","Paid","0","Current"
"INV-00031","2026-07","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U03","T003","Derya Aydin","2026-07-05","1450","1012","438","2026-07-21","Partial","179","90+ Days"
"INV-00032","2026-08","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U03","T003","Derya Aydin","2026-08-05","1450","1450","0","2026-08-09","Paid","4","Current"
"INV-00033","2026-09","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U03","T003","Derya Aydin","2026-09-05","1450","1450","0","2026-09-02","Paid","0","Current"
"INV-00034","2026-10","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U03","T003","Derya Aydin","2026-10-05","1450","1450","0","2026-10-09","Paid","4","Current"
"INV-00035","2026-11","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U03","T003","Derya Aydin","2026-11-05","1450","1450","0","2026-11-10","Paid","5","Current"
"INV-00036","2026-12","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U03","T003","Derya Aydin","2026-12-05","1450","1450","0","2026-12-06","Paid","1","Current"
"INV-00037","2026-01","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U04","T004","Derya Aydin","2026-01-05","1575","1575","0","2026-01-11","Paid","6","Current"
"INV-00038","2026-02","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U04","T004","Derya Aydin","2026-02-05","1575","1575","0","2026-02-21","Paid Late","16","Current"
"INV-00039","2026-03","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U04","T004","Derya Aydin","2026-03-05","1575","1575","0","2026-03-08","Paid","3","Current"
"INV-00040","2026-04","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U04","T004","Derya Aydin","2026-04-05","1575","1575","0","2026-04-14","Paid Late","9","Current"
"INV-00041","2026-05","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U04","T004","Derya Aydin","2026-05-05","1575","1575","0","2026-05-03","Paid","0","Current"
"INV-00042","2026-06","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U04","T004","Derya Aydin","2026-06-05","1575","858","717","2026-06-22","Partial","209","90+ Days"
"INV-00043","2026-07","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U04","T004","Derya Aydin","2026-07-05","1575","1575","0","2026-07-12","Paid Late","7","Current"
"INV-00044","2026-08","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U04","T004","Derya Aydin","2026-08-05","1575","1575","0","2026-08-09","Paid","4","Current"
"INV-00045","2026-09","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U04","T004","Derya Aydin","2026-09-05","1575","1575","0","2026-09-10","Paid","5","Current"
"INV-00046","2026-10","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U04","T004","Derya Aydin","2026-10-05","1575","1575","0","2026-10-08","Paid","3","Current"
"INV-00047","2026-11","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U04","T004","Derya Aydin","2026-11-05","1575","1575","0","2026-11-21","Paid Late","16","Current"
"INV-00048","2026-12","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U04","T004","Derya Aydin","2026-12-05","1575","1575","0","2026-12-22","Paid Late","17","Current"
"INV-00049","2026-01","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U05","T005","Aylin Kaya","2026-01-05","1525","1525","0","2026-01-11","Paid","6","Current"
"INV-00050","2026-02","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U05","T005","Aylin Kaya","2026-02-05","1525","1525","0","2026-02-05","Paid","0","Current"
"INV-00051","2026-03","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U05","T005","Aylin Kaya","2026-03-05","1525","1525","0","2026-03-11","Paid","6","Current"
"INV-00052","2026-04","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U05","T005","Aylin Kaya","2026-04-05","1525","1525","0","2026-04-04","Paid","0","Current"
"INV-00053","2026-05","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U05","T005","Aylin Kaya","2026-05-05","1525","1525","0","2026-05-07","Paid","2","Current"
"INV-00054","2026-06","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U05","T005","Aylin Kaya","2026-06-05","1525","1525","0","2026-06-11","Paid","6","Current"
"INV-00055","2026-07","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U05","T005","Aylin Kaya","2026-07-05","1525","1525","0","2026-07-09","Paid","4","Current"
"INV-00056","2026-08","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U05","T005","Aylin Kaya","2026-08-05","1525","1525","0","2026-08-02","Paid","0","Current"
"INV-00057","2026-09","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U05","T005","Aylin Kaya","2026-09-05","1525","0","1525","","Unpaid","117","90+ Days"
"INV-00058","2026-10","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U05","T005","Aylin Kaya","2026-10-05","1525","1525","0","2026-10-04","Paid","0","Current"
"INV-00059","2026-11","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U05","T005","Aylin Kaya","2026-11-05","1525","1525","0","2026-11-05","Paid","0","Current"
"INV-00060","2026-12","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U05","T005","Aylin Kaya","2026-12-05","1525","1525","0","2026-12-16","Paid Late","11","Current"
"INV-00061","2026-01","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U06","T006","Mert Koc","2026-01-05","1525","1525","0","2026-01-03","Paid","0","Current"
"INV-00062","2026-02","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U06","T006","Mert Koc","2026-02-05","1525","1525","0","2026-02-02","Paid","0","Current"
"INV-00063","2026-03","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U06","T006","Mert Koc","2026-03-05","1525","1525","0","2026-03-08","Paid","3","Current"
"INV-00064","2026-04","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U06","T006","Mert Koc","2026-04-05","1525","1525","0","2026-04-09","Paid","4","Current"
"INV-00065","2026-05","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U06","T006","Mert Koc","2026-05-05","1525","1525","0","2026-05-03","Paid","0","Current"
"INV-00066","2026-06","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U06","T006","Mert Koc","2026-06-05","1525","1525","0","2026-06-10","Paid","5","Current"
"INV-00067","2026-07","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U06","T006","Mert Koc","2026-07-05","1525","1525","0","2026-07-02","Paid","0","Current"
"INV-00068","2026-08","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U06","T006","Mert Koc","2026-08-05","1525","1525","0","2026-08-05","Paid","0","Current"
"INV-00069","2026-09","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U06","T006","Mert Koc","2026-09-05","1525","1525","0","2026-09-03","Paid","0","Current"
"INV-00070","2026-10","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U06","T006","Mert Koc","2026-10-05","1525","1525","0","2026-10-11","Paid","6","Current"
"INV-00071","2026-11","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U06","T006","Mert Koc","2026-11-05","1525","1525","0","2026-11-10","Paid","5","Current"
"INV-00072","2026-12","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U06","T006","Mert Koc","2026-12-05","1525","1525","0","2026-12-02","Paid","0","Current"
"INV-00073","2026-01","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U08","T007","Mert Aydin","2026-01-05","1600","1600","0","2026-01-04","Paid","0","Current"
"INV-00074","2026-02","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U08","T007","Mert Aydin","2026-02-05","1600","1600","0","2026-02-02","Paid","0","Current"
"INV-00075","2026-03","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U08","T007","Mert Aydin","2026-03-05","1600","1600","0","2026-03-02","Paid","0","Current"
"INV-00076","2026-04","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U08","T007","Mert Aydin","2026-04-05","1600","1600","0","2026-04-10","Paid","5","Current"
"INV-00077","2026-05","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U08","T007","Mert Aydin","2026-05-05","1600","875","725","2026-05-21","Partial","240","90+ Days"
"INV-00078","2026-06","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U08","T007","Mert Aydin","2026-06-05","1600","1600","0","2026-06-02","Paid","0","Current"
"INV-00079","2026-07","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U08","T007","Mert Aydin","2026-07-05","1600","1600","0","2026-07-23","Paid Late","18","Current"
"INV-00080","2026-08","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U08","T007","Mert Aydin","2026-08-05","1600","1015","585","2026-08-24","Partial","148","90+ Days"
"INV-00081","2026-09","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U08","T007","Mert Aydin","2026-09-05","1600","1600","0","2026-09-08","Paid","3","Current"
"INV-00082","2026-10","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U08","T007","Mert Aydin","2026-10-05","1600","1600","0","2026-10-11","Paid","6","Current"
"INV-00083","2026-11","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U08","T007","Mert Aydin","2026-11-05","1600","1600","0","2026-11-09","Paid","4","Current"
"INV-00084","2026-12","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U08","T007","Mert Aydin","2026-12-05","1600","1600","0","2026-12-13","Paid Late","8","Current"
"INV-00085","2026-01","P02","Maple Court","Besiktas","Mert Demir","P02-U02","T008","Ece Arslan","2026-01-05","1550","1550","0","2026-01-02","Paid","0","Current"
"INV-00086","2026-02","P02","Maple Court","Besiktas","Mert Demir","P02-U02","T008","Ece Arslan","2026-02-05","1550","1550","0","2026-02-02","Paid","0","Current"
"INV-00087","2026-03","P02","Maple Court","Besiktas","Mert Demir","P02-U02","T008","Ece Arslan","2026-03-05","1550","820","730","2026-03-25","Partial","301","90+ Days"
"INV-00088","2026-04","P02","Maple Court","Besiktas","Mert Demir","P02-U02","T008","Ece Arslan","2026-04-05","1550","1550","0","2026-04-06","Paid","1","Current"
"INV-00089","2026-05","P02","Maple Court","Besiktas","Mert Demir","P02-U02","T008","Ece Arslan","2026-05-05","1550","1550","0","2026-05-02","Paid","0","Current"
"INV-00090","2026-06","P02","Maple Court","Besiktas","Mert Demir","P02-U02","T008","Ece Arslan","2026-06-05","1550","1550","0","2026-06-19","Paid Late","14","Current"
"INV-00091","2026-07","P02","Maple Court","Besiktas","Mert Demir","P02-U02","T008","Ece Arslan","2026-07-05","1550","1550","0","2026-07-05","Paid","0","Current"
"INV-00092","2026-08","P02","Maple Court","Besiktas","Mert Demir","P02-U02","T008","Ece Arslan","2026-08-05","1550","1550","0","2026-08-10","Paid","5","Current"
"INV-00093","2026-09","P02","Maple Court","Besiktas","Mert Demir","P02-U02","T008","Ece Arslan","2026-09-05","1550","1550","0","2026-09-11","Paid","6","Current"
"INV-00094","2026-10","P02","Maple Court","Besiktas","Mert Demir","P02-U02","T008","Ece Arslan","2026-10-05","1550","1550","0","2026-10-03","Paid","0","Current"
"INV-00095","2026-11","P02","Maple Court","Besiktas","Mert Demir","P02-U02","T008","Ece Arslan","2026-11-05","1550","1550","0","2026-11-04","Paid","0","Current"
"INV-00096","2026-12","P02","Maple Court","Besiktas","Mert Demir","P02-U02","T008","Ece Arslan","2026-12-05","1550","1550","0","2026-12-09","Paid","4","Current"
"INV-00097","2026-01","P02","Maple Court","Besiktas","Mert Demir","P02-U03","T009","Kerem Aksoy","2026-01-05","1550","1550","0","2026-01-05","Paid","0","Current"
"INV-00098","2026-02","P02","Maple Court","Besiktas","Mert Demir","P02-U03","T009","Kerem Aksoy","2026-02-05","1550","1550","0","2026-02-21","Paid Late","16","Current"
"INV-00099","2026-03","P02","Maple Court","Besiktas","Mert Demir","P02-U03","T009","Kerem Aksoy","2026-03-05","1550","1550","0","2026-03-08","Paid","3","Current"
"INV-00100","2026-04","P02","Maple Court","Besiktas","Mert Demir","P02-U03","T009","Kerem Aksoy","2026-04-05","1550","1550","0","2026-04-06","Paid","1","Current"
"INV-00101","2026-05","P02","Maple Court","Besiktas","Mert Demir","P02-U03","T009","Kerem Aksoy","2026-05-05","1550","1550","0","2026-05-10","Paid","5","Current"
"INV-00102","2026-06","P02","Maple Court","Besiktas","Mert Demir","P02-U03","T009","Kerem Aksoy","2026-06-05","1550","1550","0","2026-06-16","Paid Late","11","Current"
"INV-00103","2026-07","P02","Maple Court","Besiktas","Mert Demir","P02-U03","T009","Kerem Aksoy","2026-07-05","1550","1550","0","2026-07-04","Paid","0","Current"
"INV-00104","2026-08","P02","Maple Court","Besiktas","Mert Demir","P02-U03","T009","Kerem Aksoy","2026-08-05","1550","1550","0","2026-08-11","Paid","6","Current"
"INV-00105","2026-09","P02","Maple Court","Besiktas","Mert Demir","P02-U03","T009","Kerem Aksoy","2026-09-05","1550","1550","0","2026-09-02","Paid","0","Current"
"INV-00106","2026-10","P02","Maple Court","Besiktas","Mert Demir","P02-U03","T009","Kerem Aksoy","2026-10-05","1550","1550","0","2026-10-08","Paid","3","Current"
"INV-00107","2026-11","P02","Maple Court","Besiktas","Mert Demir","P02-U03","T009","Kerem Aksoy","2026-11-05","1550","1550","0","2026-11-03","Paid","0","Current"
"INV-00108","2026-12","P02","Maple Court","Besiktas","Mert Demir","P02-U03","T009","Kerem Aksoy","2026-12-05","1550","1550","0","2026-12-08","Paid","3","Current"
"INV-00109","2026-01","P02","Maple Court","Besiktas","Mert Demir","P02-U04","T010","Mert Koc","2026-01-05","1700","1700","0","2026-01-04","Paid","0","Current"
"INV-00110","2026-02","P02","Maple Court","Besiktas","Mert Demir","P02-U04","T010","Mert Koc","2026-02-05","1700","1700","0","2026-02-16","Paid Late","11","Current"
"INV-00111","2026-03","P02","Maple Court","Besiktas","Mert Demir","P02-U04","T010","Mert Koc","2026-03-05","1700","1700","0","2026-03-02","Paid","0","Current"
"INV-00112","2026-04","P02","Maple Court","Besiktas","Mert Demir","P02-U04","T010","Mert Koc","2026-04-05","1700","1700","0","2026-04-06","Paid","1","Current"
"INV-00113","2026-05","P02","Maple Court","Besiktas","Mert Demir","P02-U04","T010","Mert Koc","2026-05-05","1700","1700","0","2026-05-07","Paid","2","Current"
"INV-00114","2026-06","P02","Maple Court","Besiktas","Mert Demir","P02-U04","T010","Mert Koc","2026-06-05","1700","1700","0","2026-06-10","Paid","5","Current"
"INV-00115","2026-07","P02","Maple Court","Besiktas","Mert Demir","P02-U04","T010","Mert Koc","2026-07-05","1700","1700","0","2026-07-07","Paid","2","Current"
"INV-00116","2026-08","P02","Maple Court","Besiktas","Mert Demir","P02-U04","T010","Mert Koc","2026-08-05","1700","1700","0","2026-08-08","Paid","3","Current"
"INV-00117","2026-09","P02","Maple Court","Besiktas","Mert Demir","P02-U04","T010","Mert Koc","2026-09-05","1700","1700","0","2026-09-08","Paid","3","Current"
"INV-00118","2026-10","P02","Maple Court","Besiktas","Mert Demir","P02-U04","T010","Mert Koc","2026-10-05","1700","1700","0","2026-10-02","Paid","0","Current"
"INV-00119","2026-11","P02","Maple Court","Besiktas","Mert Demir","P02-U04","T010","Mert Koc","2026-11-05","1700","1700","0","2026-11-04","Paid","0","Current"
"INV-00120","2026-12","P02","Maple Court","Besiktas","Mert Demir","P02-U04","T010","Mert Koc","2026-12-05","1700","1700","0","2026-12-06","Paid","1","Current"
"INV-00121","2026-01","P02","Maple Court","Besiktas","Mert Demir","P02-U05","T011","Can Kaya","2026-01-05","1625","1625","0","2026-01-08","Paid","3","Current"
"INV-00122","2026-02","P02","Maple Court","Besiktas","Mert Demir","P02-U05","T011","Can Kaya","2026-02-05","1625","1625","0","2026-02-03","Paid","0","Current"
"INV-00123","2026-03","P02","Maple Court","Besiktas","Mert Demir","P02-U05","T011","Can Kaya","2026-03-05","1625","1625","0","2026-03-03","Paid","0","Current"
"INV-00124","2026-04","P02","Maple Court","Besiktas","Mert Demir","P02-U05","T011","Can Kaya","2026-04-05","1625","1625","0","2026-04-11","Paid Late","6","Current"
"INV-00125","2026-05","P02","Maple Court","Besiktas","Mert Demir","P02-U05","T011","Can Kaya","2026-05-05","1625","0","1625","","Unpaid","240","90+ Days"
"INV-00126","2026-06","P02","Maple Court","Besiktas","Mert Demir","P02-U05","T011","Can Kaya","2026-06-05","1625","1625","0","2026-06-06","Paid","1","Current"
"INV-00127","2026-07","P02","Maple Court","Besiktas","Mert Demir","P02-U05","T011","Can Kaya","2026-07-05","1625","1625","0","2026-07-04","Paid","0","Current"
"INV-00128","2026-08","P02","Maple Court","Besiktas","Mert Demir","P02-U05","T011","Can Kaya","2026-08-05","1625","821","804","2026-08-25","Partial","148","90+ Days"
"INV-00129","2026-09","P02","Maple Court","Besiktas","Mert Demir","P02-U05","T011","Can Kaya","2026-09-05","1625","1625","0","2026-09-05","Paid","0","Current"
"INV-00130","2026-10","P02","Maple Court","Besiktas","Mert Demir","P02-U05","T011","Can Kaya","2026-10-05","1625","1625","0","2026-10-05","Paid","0","Current"
"INV-00131","2026-11","P02","Maple Court","Besiktas","Mert Demir","P02-U05","T011","Can Kaya","2026-11-05","1625","1625","0","2026-11-07","Paid","2","Current"
"INV-00132","2026-12","P02","Maple Court","Besiktas","Mert Demir","P02-U05","T011","Can Kaya","2026-12-05","1625","1625","0","2026-12-09","Paid","4","Current"
"INV-00133","2026-01","P02","Maple Court","Besiktas","Mert Demir","P02-U06","T012","Burak Arslan","2026-01-05","1650","1650","0","2026-01-03","Paid","0","Current"
"INV-00134","2026-02","P02","Maple Court","Besiktas","Mert Demir","P02-U06","T012","Burak Arslan","2026-02-05","1650","819","831","2026-02-25","Partial","329","90+ Days"
"INV-00135","2026-03","P02","Maple Court","Besiktas","Mert Demir","P02-U06","T012","Burak Arslan","2026-03-05","1650","1650","0","2026-03-06","Paid","1","Current"
"INV-00136","2026-04","P02","Maple Court","Besiktas","Mert Demir","P02-U06","T012","Burak Arslan","2026-04-05","1650","1650","0","2026-04-08","Paid","3","Current"
"INV-00137","2026-05","P02","Maple Court","Besiktas","Mert Demir","P02-U06","T012","Burak Arslan","2026-05-05","1650","1650","0","2026-05-08","Paid","3","Current"
"INV-00138","2026-06","P02","Maple Court","Besiktas","Mert Demir","P02-U06","T012","Burak Arslan","2026-06-05","1650","1650","0","2026-06-04","Paid","0","Current"
"INV-00139","2026-07","P02","Maple Court","Besiktas","Mert Demir","P02-U06","T012","Burak Arslan","2026-07-05","1650","1650","0","2026-07-08","Paid","3","Current"
"INV-00140","2026-08","P02","Maple Court","Besiktas","Mert Demir","P02-U06","T012","Burak Arslan","2026-08-05","1650","1650","0","2026-08-18","Paid Late","13","Current"
"INV-00141","2026-09","P02","Maple Court","Besiktas","Mert Demir","P02-U06","T012","Burak Arslan","2026-09-05","1650","1650","0","2026-09-08","Paid","3","Current"
"INV-00142","2026-10","P02","Maple Court","Besiktas","Mert Demir","P02-U06","T012","Burak Arslan","2026-10-05","1650","0","1650","","Unpaid","87","61-90 Days"
"INV-00143","2026-11","P02","Maple Court","Besiktas","Mert Demir","P02-U06","T012","Burak Arslan","2026-11-05","1650","1650","0","2026-11-22","Paid Late","17","Current"
"INV-00144","2026-12","P02","Maple Court","Besiktas","Mert Demir","P02-U06","T012","Burak Arslan","2026-12-05","1650","0","1650","","Unpaid","26","1-30 Days"
"INV-00145","2026-01","P02","Maple Court","Besiktas","Mert Demir","P02-U07","T013","Ece Koc","2026-01-05","1800","1800","0","2026-01-06","Paid","1","Current"
"INV-00146","2026-02","P02","Maple Court","Besiktas","Mert Demir","P02-U07","T013","Ece Koc","2026-02-05","1800","1800","0","2026-02-08","Paid","3","Current"
"INV-00147","2026-03","P02","Maple Court","Besiktas","Mert Demir","P02-U07","T013","Ece Koc","2026-03-05","1800","1800","0","2026-03-09","Paid","4","Current"
"INV-00148","2026-04","P02","Maple Court","Besiktas","Mert Demir","P02-U07","T013","Ece Koc","2026-04-05","1800","1800","0","2026-04-06","Paid","1","Current"
"INV-00149","2026-05","P02","Maple Court","Besiktas","Mert Demir","P02-U07","T013","Ece Koc","2026-05-05","1800","1800","0","2026-05-10","Paid","5","Current"
"INV-00150","2026-06","P02","Maple Court","Besiktas","Mert Demir","P02-U07","T013","Ece Koc","2026-06-05","1800","1800","0","2026-06-02","Paid","0","Current"
"INV-00151","2026-07","P02","Maple Court","Besiktas","Mert Demir","P02-U07","T013","Ece Koc","2026-07-05","1800","0","1800","","Unpaid","179","90+ Days"
"INV-00152","2026-08","P02","Maple Court","Besiktas","Mert Demir","P02-U07","T013","Ece Koc","2026-08-05","1800","1800","0","2026-08-03","Paid","0","Current"
"INV-00153","2026-09","P02","Maple Court","Besiktas","Mert Demir","P02-U07","T013","Ece Koc","2026-09-05","1800","1800","0","2026-09-09","Paid","4","Current"
"INV-00154","2026-10","P02","Maple Court","Besiktas","Mert Demir","P02-U07","T013","Ece Koc","2026-10-05","1800","1800","0","2026-10-03","Paid","0","Current"
"INV-00155","2026-11","P02","Maple Court","Besiktas","Mert Demir","P02-U07","T013","Ece Koc","2026-11-05","1800","1800","0","2026-11-09","Paid","4","Current"
"INV-00156","2026-12","P02","Maple Court","Besiktas","Mert Demir","P02-U07","T013","Ece Koc","2026-12-05","1800","1800","0","2026-12-02","Paid","0","Current"
"INV-00157","2026-01","P02","Maple Court","Besiktas","Mert Demir","P02-U08","T014","Can Kaya","2026-01-05","1800","1800","0","2026-01-02","Paid","0","Current"
"INV-00158","2026-02","P02","Maple Court","Besiktas","Mert Demir","P02-U08","T014","Can Kaya","2026-02-05","1800","1800","0","2026-02-11","Paid","6","Current"
"INV-00159","2026-03","P02","Maple Court","Besiktas","Mert Demir","P02-U08","T014","Can Kaya","2026-03-05","1800","1800","0","2026-03-03","Paid","0","Current"
"INV-00160","2026-04","P02","Maple Court","Besiktas","Mert Demir","P02-U08","T014","Can Kaya","2026-04-05","1800","1800","0","2026-04-02","Paid","0","Current"
"INV-00161","2026-05","P02","Maple Court","Besiktas","Mert Demir","P02-U08","T014","Can Kaya","2026-05-05","1800","1800","0","2026-05-22","Paid Late","17","Current"
"INV-00162","2026-06","P02","Maple Court","Besiktas","Mert Demir","P02-U08","T014","Can Kaya","2026-06-05","1800","1800","0","2026-06-07","Paid","2","Current"
